sentiment,text
positive,"hugely entertaining from start to finish , featuring a fall from grace that still leaves shockwaves , it will gratify anyone who has ever suspected hollywood of being overrun by corrupt and hedonistic weasels ."
positive,eight crazy nights is a showcase for sandler's many talents .
positive,disney has always been hit-or-miss when bringing beloved kids' books to the screen . . . tuck everlasting is a little of both .
positive,noyce creates a film of near-hypnotic physical beauty even as he tells a story as horrifying as any in the heart-breakingly extensive annals of white-on-black racism .
negative,a semi-autobiographical film that's so sloppily written and cast that you cannot believe anyone more central to the creation of bugsy than the caterer had anything to do with it .
negative,"though catch me if you can isn't badly made , the fun slowly leaks out of the movie ."
negative,"despite its title , amy's orgasm is not a porno , though it is as tedious as one ."
positive,"enormously enjoyable , high-adrenaline documentary ."
positive,"full of profound , real-life moments that anyone can relate to , it deserves a wide audience ."
positive,"the trick when watching godard is to catch the pitch of his poetics , savor the pleasure of his sounds and images , and ponder the historical , philosophical , and ethical issues that intersect with them ."
negative,your appreciation of it will depend on what experiences you bring to it and what associations you choose to make .
positive,"streamlined to a tight , brisk 85-minute screwball thriller , "" big trouble "" is funny , harmless and as substantial as a tub of popcorn with extra butter ."
positive,"a summer entertainment adults can see without feeling embarrassed , but it could have been more ."
positive,the film overcomes the regular minefield of coming-of-age cliches with potent doses of honesty and sensitivity .
negative,wanker goths are on the loose ! run for your lives !
positive,a thought-provoking and often-funny drama about isolation .
negative,culkin exudes none of the charm or charisma that might keep a more general audience even vaguely interested in his bratty character .
positive,"with elements cribbed from lang's metropolis , welles' kane , and eisenstein's potemkin , the true wonder of rintar's metropolis is the number of lasting images all its own ."
positive,a byzantine melodrama that stimulates the higher brain functions as well as the libido .
negative,"as gamely as the movie tries to make sense of its title character , there remains a huge gap between the film's creepy , clean-cut dahmer ( jeremy renner ) and fiendish acts that no amount of earnest textbook psychologizing can bridge ."
negative,a culture clash comedy only half as clever as it thinks it is .
negative,"a movie version of a paint-by-numbers picture . we can tell what it is supposed to be , but can't really call it a work of art ."
negative,"the idea is more interesting than the screenplay , which lags badly in the middle and lurches between not-very-funny comedy , unconvincing dramatics and some last-minute action strongly reminiscent of run lola run ."
positive,"twohy's a good yarn-spinner , and ultimately the story compels ."
